timestamp,model,category,tag,person,garment,gen_time_sec,wall_sec,cost_usd,cost_inr,within_speed,within_cost,output_path,error
2026-09-02T07:40:38+00:00,idm-vton,saree,,assets/persons/female.jpg,assets/garments/saree.jpg,,,,,,,results\outputs\idm-vton__saree.png,HTTPError('524 Server Error: <none> for url: https://wu3f66aicakgf0-8000.proxy.runpod.net/tryon')
2026-09-02T07:43:04+00:00,idm-vton,kurti,,assets/persons/female.jpg,assets/garments/kurti.jpg,9.49,55.45,0.00195,0.173,True,True,results\outputs\idm-vton__kurti.png,
2026-09-02T07:43:59+00:00,idm-vton,lehenga,,assets/persons/female.jpg,assets/garments/lehenga.jpg,9.48,49.57,0.00195,0.172,True,True,results\outputs\idm-vton__lehenga.png,
2026-09-02T07:44:49+00:00,idm-vton,top,,assets/persons/female.jpg,assets/garments/top.jpg,9.33,43.4,0.00192,0.17,True,True,results\outputs\idm-vton__top.png,
2026-09-02T07:45:32+00:00,idm-vton,jumpsuit,,assets/persons/female.jpg,assets/garments/jumpsuit.jpg,9.46,22.64,0.00194,0.172,True,True,results\outputs\idm-vton__jumpsuit.png,
2026-09-02T07:45:55+00:00,idm-vton,t-shirt,,assets/persons/male.jpg,assets/garments/t-shirt.jpg,9.3,39.54,0.00191,0.169,True,True,results\outputs\idm-vton__t-shirt.png,
2026-09-02T07:46:34+00:00,idm-vton,shirt,,assets/persons/male.jpg,assets/garments/shirt.jpg,9.47,25.98,0.00195,0.172,True,True,results\outputs\idm-vton__shirt.png,
2026-09-02T07:47:00+00:00,idm-vton,coat,,assets/persons/male.jpg,assets/garments/coat.jpg,9.71,44.34,0.002,0.177,True,True,results\outputs\idm-vton__coat.png,
2026-09-02T07:47:45+00:00,idm-vton,jeans,,assets/persons/male.jpg,assets/garments/jeans.jpg,9.32,23.13,0.00192,0.17,True,True,results\outputs\idm-vton__jeans.png,
2026-09-02T07:48:08+00:00,idm-vton,trousers,,assets/persons/male.jpg,assets/garments/trousers.jpg,9.32,36.02,0.00192,0.17,True,True,results\outputs\idm-vton__trousers.png,
2026-09-02T07:49:09+00:00,idm-vton,saree,,assets/persons/female.jpg,assets/garments/saree.jpg,9.36,40.71,0.00192,0.17,True,True,results\outputs\idm-vton__saree.png,
2026-09-02T07:50:38+00:00,catvton,saree,,assets/persons/female.jpg,assets/garments/saree.jpg,7.13,32.76,0.00147,0.13,True,True,results\outputs\catvton__saree.png,
2026-09-02T07:51:10+00:00,catvton,kurti,,assets/persons/female.jpg,assets/garments/kurti.jpg,6.32,15.26,0.0013,0.115,True,True,results\outputs\catvton__kurti.png,
2026-09-02T07:51:26+00:00,catvton,lehenga,,assets/persons/female.jpg,assets/garments/lehenga.jpg,6.32,52.42,0.0013,0.115,True,True,results\outputs\catvton__lehenga.png,
2026-09-02T07:52:18+00:00,catvton,top,,assets/persons/female.jpg,assets/garments/top.jpg,6.3,35.24,0.00129,0.115,True,True,results\outputs\catvton__top.png,
2026-09-02T07:52:53+00:00,catvton,jumpsuit,,assets/persons/female.jpg,assets/garments/jumpsuit.jpg,6.31,18.53,0.0013,0.115,True,True,results\outputs\catvton__jumpsuit.png,
2026-09-02T07:53:12+00:00,catvton,t-shirt,,assets/persons/male.jpg,assets/garments/t-shirt.jpg,6.2,15.27,0.00127,0.113,True,True,results\outputs\catvton__t-shirt.png,
