timestamp,model,category,tag,person,garment,gen_time_sec,wall_sec,cost_usd,cost_inr,within_speed,within_cost,output_path,error
2026-09-02T11:42:03+00:00,catvton,coat,,assets/persons/male.jpg,assets/garments/coat.jpg,5.66,18.51,0.00116,0.103,True,True,results\outputs\catvton__coat.png,
2026-09-02T11:42:22+00:00,catvton,coat-w,,assets/persons/female.jpg,assets/garments/extras/coat_women.jpg,5.58,14.35,0.00115,0.101,True,True,results\outputs\catvton__coat-w.png,
2026-09-02T11:25:55+00:00,catvton,jeans,,assets/persons/male.jpg,assets/garments/jeans.jpg,5.68,22.1,0.00117,0.103,True,True,results\outputs\catvton__jeans.png,
2026-09-02T12:19:19+00:00,catvton,jumpsuit,,assets/persons/female.jpg,assets/garments/jumpsuit.jpg,5.63,14.09,0.00116,0.102,True,True,results\outputs\catvton__jumpsuit.png,
2026-09-02T12:20:00+00:00,catvton,kurti,,assets/persons/female.jpg,assets/garments/kurti.jpg,5.6,12.47,0.00115,0.102,True,True,results\outputs\catvton__kurti.png,
2026-09-02T10:26:18+00:00,catvton,lehenga,,assets/persons/female.jpg,assets/garments/lehenga.jpg,5.79,16.54,0.00119,0.105,True,True,results\outputs\catvton__lehenga.png,
2026-09-02T10:28:48+00:00,catvton,saree,,assets/persons/female.jpg,assets/garments/saree.jpg,5.81,8.42,0.00119,0.106,True,True,results\outputs\catvton__saree.png,
2026-09-02T11:25:09+00:00,catvton,shirt,,assets/persons/male.jpg,assets/garments/shirt.jpg,5.64,45.9,0.00116,0.103,True,True,results\outputs\catvton__shirt.png,
2026-09-02T11:41:34+00:00,catvton,t-shirt,,assets/persons/male.jpg,assets/garments/t-shirt.jpg,5.71,29.38,0.00117,0.104,True,True,results\outputs\catvton__t-shirt.png,
2026-09-02T12:18:21+00:00,catvton,top,,assets/persons/female.jpg,assets/garments/top.jpg,5.57,57.32,0.00115,0.101,True,True,results\outputs\catvton__top.png,
2026-09-02T11:26:17+00:00,catvton,trousers,,assets/persons/male.jpg,assets/garments/trousers.jpg,5.66,15.06,0.00116,0.103,True,True,results\outputs\catvton__trousers.png,
2026-09-02T11:19:57+00:00,idm-vton,coat,,assets/persons/male.jpg,assets/garments/coat.jpg,8.72,19.93,0.00179,0.159,True,True,results\outputs\idm-vton__coat.png,
